poste,experience,salaire_debut,salaire_actuel,satisfaction,metiers
Developeur Backend,1 an,125000,125000,2,dev_backend
IT & Data Analyste,3 à 5 ans,50000,420000,1,data_analyst
Développeur Android et python,2 ans,150000,150000,3,mobile
Développeur Web Frontend,Moins d'un an,100000,180000,2,dev_frontend
Full stack web developer,1 an,150000,200000,3,fullstack
IT Project Manager ,3 à 5 ans,160000,300000,1,manager
UX/UI DESIGNER ,2 ans,50000,100000,1,designer
Développeur Front-end,Moins d'un an,100000,180000,1,dev_frontend
Développeur Angular,3 à 5 ans,60000,250000,2,dev_frontend
Développeur web,3 à 5 ans,50000,500000,4,dev_web
DevOps,3 à 5 ans,150000,400000,1,devops
Lead developer,2 ans,30000,150000,1,manager
Développeur Web Full Stack,3 à 5 ans,100000,380000,2,fullstack
Full Stack Dev,Plus de 5 ans,120000,438000,1,fullstack
Developer back-end,2 ans,100000,300000,3,dev_backend
Développeur front end,3 à 5 ans,150000,200000,2,dev_frontend
Développeur Front-end,3 à 5 ans,50000,150000,1,dev_frontend
Data Analyst ,"Stagiaire, Moins d'un an",50000,500000,5,data_analyst
Frontend dev,2 ans,30000,180000,3,dev_frontend
Devops,2 ans,40000,1000000,3,devops
Project Manager Junior,Moins d'un an,50000,50000,1,manager
Data Analyst,3 à 5 ans,350000,500000,3,data_analyst
Développeur Web Backend,3 à 5 ans,100000,200000,3,dev_backend
Chef de projet web et mobile,3 à 5 ans,400000,1000000,3,manager
Développeur web et mobile ,Moins d'un an,100000,100000,1,mobile
Développeur Web,Stagiaire,25000,50000,4,dev_web
Développeur Web,2 ans,100000,150000,1,dev_web
Big Data Manager,Moins d'un an,200000,200000,1,manager
Manager,Plus de 10 ans,160000,978344,1,manager
Développeur web et mobile,3 à 5 ans,100000,200000,1,mobile
Développeur Web,Plus de 5 ans,50000,200000,3,dev_web
Chef Division Applications et Base de Données,Plus de 5 ans,50000,375000,2,manager
Développeur Web FullStack et Mobile ,2 ans,75000,160000,2,fullstack
"Ingénieur réseau, système et securité",Plus de 5 ans,400000,500000,2,reseau_sécurite
Développeur JEE,3 à 5 ans,73325,225000,2,dev_backend
Assistant technique ,Moins d'un an,125000,125000,3,autres
Développeur Web (Back end et front end) ,Plus de 10 ans,120000,500000,3,fullstack
Développeur web,1 an,0,40000,1,dev_web
